folder_id,file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size
NCUB,NCUB1.c,gcc,9,-O0,1454,1454,1454.0
NCUB,NCUB1.c,gcc,9,-O1,1448,1448,1448.0
NCUB,NCUB1.c,gcc,9,-O2,1442,1442,1442.0
NCUB,NCUB1.c,gcc,9,-O3,1442,1442,1442.0
NCUB,NCUB1.c,gcc,9,-Os,1435,1435,1435.0
NCUB,NCUB1.c,gcc,9,-Ofast,1526,1526,1526.0
NCUB,NCUB1.c,gcc,10,-O0,1454,1454,1454.0
NCUB,NCUB1.c,gcc,10,-O1,1448,1448,1448.0
NCUB,NCUB1.c,gcc,10,-O2,1442,1442,1442.0
NCUB,NCUB1.c,gcc,10,-O3,1442,1442,1442.0
NCUB,NCUB1.c,gcc,10,-Os,1435,1435,1435.0
NCUB,NCUB1.c,gcc,10,-Ofast,1526,1526,1526.0
NCUB,NCUB1.c,gcc,11,-O0,1457,1457,1457.0
NCUB,NCUB1.c,gcc,11,-O1,1448,1448,1448.0
NCUB,NCUB1.c,gcc,11,-O2,1442,1442,1442.0
NCUB,NCUB1.c,gcc,11,-O3,1442,1442,1442.0
NCUB,NCUB1.c,gcc,11,-Os,1435,1435,1435.0
NCUB,NCUB1.c,gcc,11,-Ofast,1526,1526,1526.0
NCUB,NCUB1.c,gcc,12,-O0,1457,1457,1457.0
NCUB,NCUB1.c,gcc,12,-O1,1448,1448,1448.0
NCUB,NCUB1.c,gcc,12,-O2,1442,1442,1442.0
NCUB,NCUB1.c,gcc,12,-O3,1442,1442,1442.0
NCUB,NCUB1.c,gcc,12,-Os,1435,1435,1435.0
NCUB,NCUB1.c,gcc,12,-Ofast,1526,1526,1526.0
NCUB,NCUB10.c,gcc,9,-O0,1837,1837,1837.0
NCUB,NCUB10.c,gcc,9,-O1,1564,1564,1564.0
NCUB,NCUB10.c,gcc,9,-O2,1568,1568,1568.0
NCUB,NCUB10.c,gcc,9,-O3,1822,1822,1822.0
NCUB,NCUB10.c,gcc,9,-Os,1538,1538,1538.0
NCUB,NCUB10.c,gcc,9,-Ofast,1910,1910,1910.0
NCUB,NCUB10.c,gcc,10,-O0,1819,1819,1819.0
NCUB,NCUB10.c,gcc,10,-O1,1564,1564,1564.0
NCUB,NCUB10.c,gcc,10,-O2,1568,1568,1568.0
NCUB,NCUB10.c,gcc,10,-O3,1822,1822,1822.0
NCUB,NCUB10.c,gcc,10,-Os,1538,1538,1538.0
NCUB,NCUB10.c,gcc,10,-Ofast,1910,1910,1910.0
NCUB,NCUB10.c,gcc,11,-O0,1828,1828,1828.0
NCUB,NCUB10.c,gcc,11,-O1,1564,1564,1564.0
NCUB,NCUB10.c,gcc,11,-O2,1568,1568,1568.0
NCUB,NCUB10.c,gcc,11,-O3,1798,1798,1798.0
NCUB,NCUB10.c,gcc,11,-Os,1538,1538,1538.0
NCUB,NCUB10.c,gcc,11,-Ofast,1886,1886,1886.0
NCUB,NCUB10.c,gcc,12,-O0,1837,1837,1837.0
NCUB,NCUB10.c,gcc,12,-O1,1564,1564,1564.0
NCUB,NCUB10.c,gcc,12,-O2,1566,1566,1566.0
NCUB,NCUB10.c,gcc,12,-O3,1771,1771,1771.0
NCUB,NCUB10.c,gcc,12,-Os,1535,1535,1535.0
NCUB,NCUB10.c,gcc,12,-Ofast,1859,1859,1859.0
NCUB,NCUB2.c,gcc,9,-O0,1513,1513,1513.0
NCUB,NCUB2.c,gcc,9,-O1,1513,1513,1513.0
NCUB,NCUB2.c,gcc,9,-O2,1532,1532,1532.0
NCUB,NCUB2.c,gcc,9,-O3,1532,1532,1532.0
NCUB,NCUB2.c,gcc,9,-Os,1505,1505,1505.0
NCUB,NCUB2.c,gcc,9,-Ofast,1616,1616,1616.0
NCUB,NCUB2.c,gcc,10,-O0,1513,1513,1513.0
NCUB,NCUB2.c,gcc,10,-O1,1513,1513,1513.0
NCUB,NCUB2.c,gcc,10,-O2,1665,1665,1665.0
NCUB,NCUB2.c,gcc,10,-O3,1905,1905,1905.0
NCUB,NCUB2.c,gcc,10,-Os,1505,1505,1505.0
NCUB,NCUB2.c,gcc,10,-Ofast,1989,1989,1989.0
NCUB,NCUB2.c,gcc,11,-O0,1516,1516,1516.0
NCUB,NCUB2.c,gcc,11,-O1,1513,1513,1513.0
NCUB,NCUB2.c,gcc,11,-O2,1665,1665,1665.0
NCUB,NCUB2.c,gcc,11,-O3,1665,1665,1665.0
NCUB,NCUB2.c,gcc,11,-Os,1505,1505,1505.0
NCUB,NCUB2.c,gcc,11,-Ofast,1749,1749,1749.0
NCUB,NCUB2.c,gcc,12,-O0,1516,1516,1516.0
NCUB,NCUB2.c,gcc,12,-O1,1513,1513,1513.0
NCUB,NCUB2.c,gcc,12,-O2,1674,1674,1674.0
NCUB,NCUB2.c,gcc,12,-O3,1674,1674,1674.0
NCUB,NCUB2.c,gcc,12,-Os,1500,1500,1500.0
NCUB,NCUB2.c,gcc,12,-Ofast,1758,1758,1758.0
NCUB,NCUB3.c,gcc,9,-O0,1490,1490,1490.0
NCUB,NCUB3.c,gcc,9,-O1,1496,1496,1496.0
NCUB,NCUB3.c,gcc,9,-O2,1470,1470,1470.0
NCUB,NCUB3.c,gcc,9,-O3,1770,1770,1770.0
NCUB,NCUB3.c,gcc,9,-Os,1468,1468,1468.0
NCUB,NCUB3.c,gcc,9,-Ofast,1854,1854,1854.0
NCUB,NCUB3.c,gcc,10,-O0,1490,1490,1490.0
NCUB,NCUB3.c,gcc,10,-O1,1496,1496,1496.0
NCUB,NCUB3.c,gcc,10,-O2,1470,1470,1470.0
NCUB,NCUB3.c,gcc,10,-O3,1770,1770,1770.0
NCUB,NCUB3.c,gcc,10,-Os,1468,1468,1468.0
NCUB,NCUB3.c,gcc,10,-Ofast,1854,1854,1854.0
NCUB,NCUB3.c,gcc,11,-O0,1493,1493,1493.0
NCUB,NCUB3.c,gcc,11,-O1,1496,1496,1496.0
NCUB,NCUB3.c,gcc,11,-O2,1470,1470,1470.0
NCUB,NCUB3.c,gcc,11,-O3,1738,1738,1738.0
NCUB,NCUB3.c,gcc,11,-Os,1468,1468,1468.0
NCUB,NCUB3.c,gcc,11,-Ofast,1822,1822,1822.0
NCUB,NCUB3.c,gcc,12,-O0,1493,1493,1493.0
NCUB,NCUB3.c,gcc,12,-O1,1496,1496,1496.0
NCUB,NCUB3.c,gcc,12,-O2,1467,1467,1467.0
NCUB,NCUB3.c,gcc,12,-O3,1738,1738,1738.0
NCUB,NCUB3.c,gcc,12,-Os,1468,1468,1468.0
NCUB,NCUB3.c,gcc,12,-Ofast,1822,1822,1822.0
NCUB,NCUB4.c,gcc,9,-O0,1503,1503,1503.0
NCUB,NCUB4.c,gcc,9,-O1,1508,1508,1508.0
